Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU09,15-Sep-23,13:49,AB SM,LU09_13,LU09_13,ACME-2022-06,OSM-23-021,55.93486,-113.48714,LU09-13,Conifer,"Dense understory of labrador tea, black spruce forest. Pretty boggy/mossy, but found a decent game trail.",Flat,0%,595,1,E-NE,NA,9,"Drive to end of road, park in well pad. Duck under pipe to avoid cat tail swamp. Wack in to point, bring boots!"
OSM_LU09,15-Sep-23,8:53,AB SM,LU09_18,LU09_18,ACME-2022-15,OSM-23-016,55.93893,-113.68761,LU09-18,Broadleaf,"Mixed wood with conifers and aspen, hard ground, only some moss, mainly small plant understory, fair amount of old tree fall. Camera pointed at fairly goof trail, small amount of other trails in area. ",Flat,0%,575,1,W,NA,5,"Park on highway, walk along the seismic line on North side of highway going north, bushbash in east to site, easy walking."
OSM_LU09,16-Sep-23,11:43,RS EA,LU09_21,LU09_21,ACME-2023-94,OSM-23-122,55.95748,-113.71101,LU09-21,Broadleaf,"Mixed forest of aspen, spruce, fir, with understory of rose, moss and bunchberry. Camera along well defined game trail. ",Flat,0%,589,<0.5,W,2,3.5,Park in pull out where seismic line intersects the road. Walk up seismic line for ~150m and enter forest on the right side. Left side has barb wire fence. 
OSM_LU09,15-Sep-23,17:11,RS EA,LU09_24,LU09_24,ACME-2022-88,OSM-23-111,55.97636,-113.71067,LU09-24,Broadleaf,"Mixed forest with rose, bunchberry, shrub understory. Camera along game trail. ",Flat,0%,632,0.5,W,1,4,Park along road. Walk in on seismic line ~ 150 m and turn onto game trail on the left side. 
OSM_LU09,15-Sep-23,14:55,RS EA,LU09_28,LU09_28,ACME-2022-19,OSM-23-109,55.98742,-113.76594,LU09-28,Broadleaf,"Mixed forest with rose, bunchberry, shrub understory. Camera along well defined game trail. ",Flat,0%,587,1.5,W,2,6,"Park along road where safe, game trail can be seen from road. Follow to camera. *camera ID not on slate photo. "
OSM_LU09,15-Sep-23,15:52,RS EA,LU09_29,LU09_29,ACME-2022-13,OSM-23-110,55.97969,-113.73471,LU09-29,Broadleaf,"Along game trail in mixed forest stand of aspen and conifer, adjacent to inactive wellsite",Flat,0%,581,1,NE,1,5,"Pull into pullout close to site (just NE along road), walk down cutline beside wellpad and turn off on SW side, bushwack to site"
OSM_LU09,15-Sep-23,16:28,RS EA,LU09_30,LU09_30,ACME-2022-09,OSM-22-70,55.99221,-113.70862,LU09-30,Broadleaf,"Along game trail in aspen stand with shrubby understory, adjacent to cutline and active wellpad",Flat,0%,624,2,NW,1,5,"Park at entry to abandoned wellpad on N side of road, follow wellpad to cutline. Folloe cutline until adjacent to site, bushwack in. "
OSM_LU09,16-Sep-23,12:19,RS EA,LU09_31,LU09_31,serial#: HLPXHN10080108,OSM-23-123,55.9869,-113.68733,LU09-31,Mixed,"Along game trail in aspen dominant mixed stand, with shrubby understory",Flat,0%,606,0,NE,1,6,Park at entrance to abandoned well site on south side of road. Walk down cutline/wellsite ~130m and follow game trail into forest on E side of pad. 
OSM_LU09,16-Sep-23,13:03,RS EA,LU09_32,LU09_32,ACME M121,OSM-23-124,55.98812,-113.66647,LU09-32,Broadleaf,"Along game trail in aspen dominant mixed forest stand, shrubby understory. ",Flat,0%,637,0.5,NE,2,5,"Park at entrance to abandoned well site, follow site until adjacent to point and bushwack in "
OSM_LU09,16-Sep-23,13:33,RS EA,LU09_33,LU09_33,HLPXHN10080202,OSM-23-125,55.98748,-113.64686,LU09-33,Broadleaf,Mixed forest with shrubby understory. Camera along well-defined game trail. ,Flat,0%,622,1.5,NW,2,5,"Park along road where safe, follow old road/seismic line (overgrown) for ~150m to game trail on right side."
OSM_LU09,14-Sep-23,16:05,AB SM,LU09_39,LU09_39,ACME-2022-10,OSM-23-015,55.98985,-113.44392,LU09-39,Conifer,"Mossy solid ground with rose bushes, lots of game trails nearby, lots of deadfall, camera pointed at game trail. ",Flat,0%,604,1,W,2,6,"Parked on well pad/gas station and bush bashed in, fairly easy walking, lots of game trails. "
OSM_LU09,15-Sep-23,14:21,RS EA,LU09_41,LU09_41,ACME-2023-25,OSM-23-108,56.00175,-113.76165,LU09-41,Broadleaf,"Along game trail in deciduous aspen forest, shrubby sparse understory.",Flat,0%,610,0.5,N,1,6,"Park roadside at old road/truck trail, follow road and bushwack to camera once parallel"
OSM_LU09,15-Sep-23,16:17,AB SM,LU09_44,LU09_44,ACME-2023-31,OSM-23-023,56.00827,-113.47067,LU09-44,Conifer,Pretty open spruce patch with squishy mossy and labrador tea. Camera at junction of several game trails.,Flat,0%,612,2,N-NW,3,7,"Drive to end at road and reach old pad used for storage? No clear entry into forest, just pray and bush bash. Boots recommended. "
OSM_LU09,14-Sep-23,15:14,AB SM,LU09_51,LU09_51,ACME-2022-14,OSM-23-014,56.02089,-113.36845,LU09-51,Mixed,"Mixed black spruce and labrador tea. Series of ""tiny"" game trails, tried to get camera at intersection. ",Flat,0%,615,1,E,2,3.5,"Park on well pad just South of cell 60, to east of camera. Not a clear path in, but a dryish bush wack. Camera is near where trees get small and labrador tea is abundant. "
OSM_LU09,16-Sep-23,14:19,AB SM,LU09_55,LU09_55,ACME M108,OSM-23-029,56.02372,-113.4966,LU09-55,Conifer,Mixed wood forest at the end of an old road. Camera site placed before the woods get too thick of an understory. Facing eat at downed tree. ,Flat,0%,616,1,E,1,8,"Convenient pull out off western site of the cell. Walk down old road, past brunt old jeep, then hard right into forest. "
OSM_LU09,16-Sep-23,NA,AB SM,LU09_57,LU09_57,ACME-2023-32,OSM-23-028,56.02872,-113.4364,LU09-57,Mixed,"Mainly deciduous, thick with branchy shrubs and birch, wet uneven grassy ground, some trails but not very well defined, camera is placed on birch tree pointed at trail, lure went on branchy shrubs. ",Flat,0%,611,1,W,2,7,"Park on well pad and walk in, satellite photos show cut line/seismic line, but not very over grown. "
OSM_LU09,15-Sep-23,13:39,RS EA,LU09_62,LU09_62,ACME-2022-78,OSM-23-107,56.03572,-113.76742,LU09-62,Conifer,"Mixed forest with mossy/grassy understory, rose and bunchberry. Camera along game trail. ",Flat,0%,616,0.5,NW,2,5.5,Park along road or near well pad and bushwack in ~200 to game trail. 
OSM_LU09,16-Sep-23,11:10,RS EA,LU09_63,LU09_63,ACME M140,OSM-23-121,56.0298,-113.73437,LU09-63,Broadleaf,"Mixed forest with moss, rose, shrubby understory. Camera along well defined game trail. ",Flat,0%,615,<0.5,E,2,5.5,Park along road in safe area. Camera is ~150 m off road along game trail. 
OSM_LU09,15-Sep-23,11:35,RS EA,LU09_64,LU09_64,ACME-2022-54,OSM-23-106,56.0397,-113.72797,LU09-64,Broadleaf,"Mixed forest site with moss, bunchberry and rose understory. Camera along game trail. ",Flat,0%,616,1,SW,2,5,"Park along road in a safe pullout near seismic line that intersects with road, bushwack in ~150 m. "
OSM_LU09,16-Sep-23,15:07,AB SM,LU09_65,LU09_65,ACME-2023-45,OSM-23-030,56.04187,-113.54919,LU09-65,Conifer,"Solid mossy ground right at camera site with mixed forest (multiple species of conifer as well as aspen and birch), but near site is thick mossy boggy terrain with conifer trees, lots of labrador tea nearby but not right at site. ",Flat,0%,620,1,W,1,7,"Park on well pad and walk straight north from the NW corner of the pad. Walk thru conifer moss bog to get to a grove with large pine trees, camera is on game trail. "
OSM_LU09,16-Sep-23,12:53,AB SM,LU09_67,LU09_67,ACME-2023-23,OSM-23-027,56.03918,-113.40793,LU09-67,Conifer,Dryish labrador tea bog with Black spruce. Shockingly high number of game trails compared to similar habitats we have seen. ,Flat,1%,613,0.5,N,3,4,"Park on well pad and walk into forest on south side. You will eventually hit game trails, but otherwise easy walking. "
OSM_LU09,14-Sep-23,NA,AB SM,LU09_68,LU09_68,ACME-2022-50,OSM-23-013,56.04655,-113.36591,LU09-68,Mixed,"Solid ground moss understory, some shrubs, mainly conifers (large) and some aspens nearby. Two game trails intersect infront of camera. ",Flat,1%,633,2,NW,2,5,"Park on side of road and walk in, easy walking for most part. "
OSM_LU09,15-Sep-23,10:35,RS EA,LU09_72,LU09_72,ACME-2022-07,OSM-23-105,56.05514,-113.72662,LU09-72,Broadleaf,Along game trail in mixed forest stand (roughly equal aspen and conifer trees) mossy ground with shrubby understory. ,Flat,0%,596,1,NW,2,6,"Park at bridge (safe pullout), walk ~500m southward on road, bushwack to site once roughly perpendicular. Should be able to find a game trail."
OSM_LU09,16-Sep-23,10:56,AB SM,LU09_73,LU09_73,ACME-2022-38,OSM-23-024,56.05505,-113.5569,LU09-73,Mixed,"Very open site, conifer with mainly pine, moss and lichen forest floor, few shrubs except around perimeter of open pot, slight slope to west, camera pointed towards defined game trail",Slope,5% (W),611,1,N,2,5,"Park on road and walk in. Shrubs and trees thick at first then there is a very open forest patch, follow game trail to camera."
OSM_LU09,14-Sep-23,13:08,AB SM,LU09_75,LU09_75,ACME-2022-08,OSM-23-011,56.05522,-113.48314,LU09-75,Conifer,"Thick mossy understory with labrador tea, mainly conifer forest at site. Only aspens are closer to well pad. ",Flat,0%,NA,0.5,NW,1,5,Park on well pad and bush bash into site accessed from SE corner of well pad and bush bash in SE direction.
OSM_LU09,16-Sep-23,NA,AB SM,LU09_76,LU09_76,ACME M134,OSM-23-026,56.06062,-113.45915,LU09-76,Conifer,"Mixed wood with conifer and aspen, green mossy understory, some shrubs but not very thick, solid ground, dry, camera along established game trail. ",Flat,1%,619,1,SW,2,6,"Park on well pad and walk in, in NE direction, easy walking. "
OSM_LU09,14-Sep-23,13:56,AB SM,LU09_77,LU09_77,ACME-2022-21,OSM-23-012,56.05704,-113.42562,LU09-77,Mixed,"Mixed forest, open understory. Lots of trails around camera site. ",Flat,0%,603,1,N,2,5,Drive to well pad and venture North into old clearing. Thick at first but opens up into open understory. No clear trail until you reach the camera. 
OSM_LU09,14-Sep-23,16:52,RS EA,LU09_79,LU09_79,ACME -2023-14,OSM-23-103,56.06759,-113.76394,LU09-79,Broadleaf,"Mixed forest with mossy understory, labrador tea, deadfall. Camera along faint game trail.",Flat,0%,606,0.5,NW,1,4,Park alonf road and follow seismic line approx. ~ 150m. Faint game trail on left side of seismic line. 
OSM_LU09,15-Sep-23,9:37,RS EA,LU09_80,LU09_80,ACME-2022-18,OSM-23-105,56.06609,-113.73965,LU09-80,Broadleaf,"Camera facing down game trail in mixed tree stand (largely conifer with some aspen, adjacent to a very seismic line). Mossy understory with sparse veg. ",Flat,0%,610,1,N,1,4,"Park at oull out beside bridge, walk N 500m from bridge northward on road until approx parallel with site coordinates, bushwack in. Do not cross seismic line - overgrown shite."
OSM_LU09,16-Sep-23,11:24,AB SM,LU09_81,LU09_81,ACME-2022-53,OSM-23-025,56.06139,-113.52341,LU09-81,Conifer,"Open forest with big Black spruce. Many active game trails, camera pointed down trail with lure tree to left. Intersection of trails at lure tree!",Flat,1%,616,0.5,NW,3,7,"Park just south of cell along a GIANT pond with beaver lodge. Easy walk along pond, then cut into forest. See datasheet for diagra. "
OSM_LU09,14-Sep-23,12:11,AB SM,LU09_82,LU09_82,ACME-2022-52,OSM-23-010,56.06802,-113.4772,LU09-82,Mixed,"Lovely aspen site, big trees with somewhat thick understory. Camera on well defined trail",Flat,0%,605,1,W,3,7,"Access from outside of cell on south east corner. Road was quite wet so we parked at end and walked in. Walk along olf road until perpendicular to camera, hard left and get on in there. "
OSM_LU09,14-Sep-23,16:13,RS EA,LU09_85,LU09_85,ACME-2023-28,OSM-23-102,56.07789,-113.77494,LU09-85,Broadleaf,"Conifer dominant stand with mossy understory, with horsetail and thorny shrubs. Camera pointing down well defined game trail. ",Flat,0%,602,1,NW,3,5,"Park roadside and follow seismic trail from road. Hard to see, may have to bushwack to find trail. "
OSM_LU09,14-Sep-23,9:30,AB SM,LU09_86,LU09_86,ACME-2022-55,OSM-23-006,56.08713,-113.52008,LU09-86,Mixed,"Solid ground with moss and other plants as understory, mixed wood with pine, other conifers, and aspen. Near boggy area to North that is lower in elevation. ",Slope,5%,619,1,NE,1,6,"Park on well pad, walk through bog to aspen mixed forest. "
OSM_LU09,14-Sep-23,11:33,AB SM,LU09_87,LU09_87,ACME-2022-17,OSM-23-09,56.07875,-113.44093,LU09-87,Conifer,"Mossy solid ground, mixed wood (conifer and aspen)",Flat,0%,6?,0.5,NE,2,NA 6?,"Park on road and walk in, easy walking. Road is very busy, be careful!"
OSM_LU09,13-Sep-23,17:07,AB SM,LU09_90,LU09_90,M137,OSM-23-005,56.09386,-113.33807,LU09-90,Conifer,Open seismic line with mossy and labrador tea. Interior forest trees small and garbage seismic line game trail was the best so we set it up and lured fallen tree.,Flat,0%,625,3,SE,NA,NA,"Very clear seismic line, walk down well defined game trail on line, camera is on left pointed at fallen tree. "
OSM_LU09,16-Sep-23,10:32,RS EA,LU09_93,LU09_93,ACME-2022-26,OSM-23-120,56.08794,-113.78278,LU09-93,Broadleaf,"Along game trail in mixed forest stand, predominantly aspen, location has small shrub understory",Flat,0%,594,1.5,NE,1,5,Park roadside and bushwack to site
OSM_LU09,14-Sep-23,15:12,RS EA,LU09_94,LU09_94,ACME M103,OSM-23-101,56.09827,-113.76354,LU09-94,Broadleaf,"Mixed forest , mostly older aspen. Understory of rose, bunchberry and grasses. Along game trail",Flat,0%,647,2,E,2,4,"Park along road and follow seismic line ~500m, turn right onto intersecting seismic line and follow for ~200m, game trail on left side. "
OSM_LU09,14-Sep-23,9:57,AB SM,LU09_96,LU09_96,ACME-2022-32,OSM-23-006,56.10025,-113.50814,LU09-96,Mixed,"Mossy mixed forest. Camera on tree surrounded by wet moss, pointing down trail NE. ",Flat,0%,606,1,NE,2,5,"Drive to well pad, park on left. Follow game trail on seismic line, veer into forest following smaller trail on right, Bring BOOTS."
OSM_LU09,14-Sep-23,11:02,AB SM,LU09_98,LU09_98,ACME-2022-69,OSM-23-008,56.0985,-113.47141,LU09-98,Conifer,"Mossy bog, conifer forest, grass and labrador tea and smalll birch understory. ",Flat,0%,NA,1,N,NA,5,Park on well pad and walk through bog until you get to taller trees. Buggy!
OSM_LU09,15-Sep-23,14:53,AB SM,LU09_27,LU09_27,ACME-2022-80,OSM-23-022,55.96937,-113.36397,LU09-27,Mixed,"Fairly dry mossy solid ground, mixed wood aspen and conifer, near large cut line, nice trails in area, camera pointing at 2 trails intersecting.",Flat,0%,598,1,N,2,6,"Park on road and walk in, walk past large cut line, then follow game trail to camera. "
OSM_LU14,30-Sep-23,9:45,SM EA,LU14_03,LU14_03,ACME-2022-46,OSM-23-673,56.94589,-112.30953,LU14-03,Conifer,"Mixed forest, conifer and aspen with shruby understory, roses and moss. Some game trails, few well-defined. ",Flat,0%,482,1.5,W,2,6,Park roadside and bushwack to site. Camera on slightly learning tree along game trail. 
OSM_LU14,30-Sep-23,11:49,SM EA,LU14_07,LU14_07,ACME-2022-102,OSM-23-676,56.9571,-112.41011,NA,Broadleaf,"Mixed wood, solid mossy understory with small amount of labrador tea and shrubs. East of cutline.",Flat,0%,491,0.5,W,1,3,"Park in oullout on N side of road. Walk down cutline in S direction, bushwack ~20m on E side of cutline. Solid ground, easy walk. "
OSM_LU14,30-Sep-23,11:03,SM EA,LU14_08,LU14_08,ACME-2022-43,OSM-23-675,56.95589,-112.38725,LU14-08,Mixed,"Mixed wood, ~60:40 conifer aspen, solid dry ground with moss, plants and lots of rose shrubs. Camera is pointed down a trail and at intersection of another trail. ",Flat,0%,479,0.5,E,2,3,Park on road and walk in North. Some rose shrubs and downfall but fairly easy walking. Found some bear poop and evil grouse. 
OSM_LU14,30-Sep-23,10:40,SM EA,LU14_09,LU14_09,ACME-2022-98,OSM-23-674,56.95599,-112.36073,LU14-09,Conifer,"Mixed forest with mossy understory, some shrubs. Lots of game trails, bear scat at camera site. ",Flat,0%,483,<0.5,E,3,5,Park roadside and bushwack ~120m to camera site. Along well defined game trail.
OSM_LU14,26-Sep-23,14:40,AB SM,LU14_100,LU14_100,ACME-2023-36,OSM-23-304,57.21349,-112.32694,LU14-100,Mixed,"Dry ish ground with moss and labrador tea understory, conifer forest, next to cutline (winter snowmibile road?). A weather station is also in the cell. ",Flat,0%,537,1,E,3,7,"Land in clearing south west of point, walk North along cut line, then East into forest along game trail to find camera. * Slate time wrong. Time may be off @ this site, might be out in 12h time. "
OSM_LU14,26-Sep-23,15:06,AB SM,LU14_102,LU14_102,ACME-2023-22,OSM-23-306,57.21218,-112.24976,LU14-102,Conifer,Very nice mossy spruce area. Good trails all around. ,Flat,0%,518,1,E,3,9,Land in old river bed looking thing at south west corner of cell. Climb hill and walk in until nice open mossy forest. 
OSM_LU14,26-Sep-23,11:48,AB SM,LU14_105,LU14_105,ACME-2023-08,OSM-23-302,57.22642,-112.42336,LU14-105,Mixed,"Mixed wood, solid dry ground with moss and rose shrub understory, lots of deadfalll, near cutline that was for an abandonned pipeline (there are signs). ",Flat,0%,583,1,SE,2,8,"Land in large cutblock near SW portion of cell, walk to western cutline a few meters, camera is south of that cutline along a trail. "
OSM_LU14,26-Sep-23,NA,SM AB,LU14_110,LU14_110,ACME-2022-13,OSM-23-300,57.24136,-112.55234,LU14-110,Conifer,"Dry ground with moss, lichen, and labrador tea, conifer forest (black spruce), camera along cutline, and nearby a large cut block",Flat,0%,545,1,NW,2,3,"Land in large cutblock to East or NE of point, walk along cutlines to find camera. "
OSM_LU14,26-Sep-23,12:13,AB SM,LU14_114,LU14_114,ACME-2023-16,OSM-23-303,57.23443,-112.3881,LU14-114,Mixed,Very thick spruce area with mossy bottom. No clear defined trail but we were able to find a bit of a clearing in the trees. Some miminal animal sign. ,Flat,0%,549,1,NE,1,6,From landing area you have to walk across a soft open area north ish. No clear entry into forest unfortunately. 
OSM_LU14,26-Sep-23,12:00,RS EA,LU14_115,LU14_115,ACME-2022-101,OSM-23-302,57.23761,-112.3089,LU14-115,Conifer,On game trail at intersection of 2 high use linear features in mixed wood forest. Lure tree is an already active bear rub tree. ,Flat,0%,530,0,W,3,5,Heli access - land at + of linear features. 
OSM_LU14,26-Sep-23,9:50,RS EA,LU14_120,LU14_120,ACME-2023-18,OSM-23-300,57.27318,-112.59342,LU14-120,Conifer,Along game trail in mixed conifer stand with mossy understory that has sparse labrador tea site is immediately in transition from wet to dry. ,Flat,0%,588,1,NE,3,4,"Heli access - land in abandoned wellsite, hike into bush on SW side, follow game trail to site. No photos. "
OSM_LU14,26-Sep-23,11:08,RS EA,LU14_121,LU14_121,ACME-2023-38,OSM-23-301,57.26169,-112.5294,LU14-121,Conifer,"Mixed stand, mossy bottom, deadfall. Near river. ",Flat,0%,540,1,W,2,4,"Heli access - E side of river, walk into forest ~30m "
OSM_LU14,26-Sep-23,14:55,RS EA,LU14_131,LU14_131,HLPXHN10080923,OSM-23-303,57.28914,-112.27245,LU14-131,Conifer,"Conifer dominant forest with mossy bottom, some shrubs (labrador tea, rose). Near river. ",Flat,0%,568,<0.5,N,3,5,"Heli access - SW side of river, walk into forest on game trail, trail will turn and run parallel to river heading SE. Well-defined game trail. "
OSM_LU14,26-Sep-23,12:10,RS EA,LU14_135,LU14_135,ACME-2023-20,OSM-23-45,57.32076,-112.36021,LU14-135,Conifer,Along game trail adjacent to open bog. Black spruce forest with wet mossy understory and sparse labrador tea and lichen. ,Flat,0%,580,0,N,1,3,"Heli access - land in open bog, walk to E side to camera. "
OSM_LU14,03-Oct-23,12:40,EA SM,LU14_16,LU14_16,ACME-2022-29,OSM-23-709,56.95922,-112.29803,LU14-16,Mixed,"Conifer dominant forest, mossy/shrubby understory. ",Flat,0%,473,<0.5,W,NA,6,"Heli access - Land on seismic line, walk up line and game trail in on left (South)"
OSM_LU14,03-Oct-23,13:11,MB RS,LU14_17,LU14_17,ACME-2022-89,OSM-23-444,56.96855,-112.19186,LU14-17,Broadleaf,In a mixed forest next to bog. ,Flat,0%,489,0,N,1,7,Helicopter access - enter forest and bushwack to site
OSM_LU14,30-Sep-23,13:09,SM EA,LU14_19,LU14_19,ACME-2022-74,OSM-23-678,56.98159,-112.45065,LU14-19,Conifer,"Mossy ground, mixed forest. Lots of squirrel trails but camera is pointed along a trail that appears wider then a squirrel trail. ",Flat,0%,477,2,N,NA,3.5,Park on road and walk in (NE direction from road). SW side of road was completely flooded when we first looked at the cell. 
OSM_LU14,30-Sep-23,12:20,SM EA,LU14_20,LU14_20,ACME-2022-70,OSM-23-677,56.97155,-112.4352,LU14-20,Conifer,"Mixed forest (pine, aspen, fir) with mossy, labrador tea, shruby understory. Many well defined game trails.",Flat,0%,474,<0.5,NW,3,6,"Park in pullout near pond. Bushwack for ~120m, game trail can be seen/followed to camera site."
OSM_LU14,02-Oct-23,13:31,EA SM,LU14_250,LU14_250,ACME-2022-68,OSM-23-700,57.02059,-112.16242,LU14-250,Mixed,"Conifer forest with spongy moss, good trails, some labrador tea. ",Flat,0%,448,1,NE,2,3,"Land on SE edge of boggy area, slightly wet, walk in. Lots of trails, easy walking. "
OSM_LU14,30-Sep-23,14:45,RS MB,LU14_30,LU14_30,ACME-2022-113,OSM-23-417,57.01174,-112.49358,LU14-30,Mixed,Game trail off high use seismic line in black spruce bog with mossy understory with lichen and labrador tea. ,Flat,0%,493,1,NW,3,6,"Park roadside, follow seismic line on W side of road to site. "
OSM_LU14,30-Sep-23,13:51,SM EA,LU14_31,LU14_31,ACME-2022-116,OSM-23-679,57.00264,-112.47708,LU14-31,Mixed,"Mixed forest, mainly conifer (larches, pines and spruce), mosst ground, adjacent to cutline. Lots of squirrel trails, camera is pointed along wider, suspected large game trail. Close to spongy-labrador tea black spruce area.",Flat,0%,493,1,NE,2,4,Park on road and walk in cutline in N direction when perpendicular to point. Walk in E to camera. Camera is along a game trail. 
OSM_LU14,03-Oct-23,10:01,EA SM,LU14_33,LU14_33,ACME -2022-115,OSM-23-705,57.00923,-112.3383,LU14-33,Mixed,"Mossy solid ground, mixed forest, fairly open, lots of deadfall, lots of shrubs and plants. ",Flat,0%,460,1,E,1,3,"Land in grassy area east of creek, follow game trail into woods east to camera. "
OSM_LU14,02-Oct-23,13:01,MB SM,LU14_37,LU14_37,ACME-2022-105,OSM-23-430,57.01992,-112.10431,LU14-37,Broadleaf,"Game trail in mixed forest stand with sparse understory of conifer saplings and horsetail, lots of bear sign. Forest path adjacent to cutblock. ",Flat,0%,490,1,W,2,5,Helicopter acccess - forest patch on N side of cutblock
OSM_LU14,30-Sep-23,12:50,RS MB,LU14_47,LU14_47,ACME-2023-49,OSM-23-414,57.03347,-112.55693,LU14-47,Conifer,"In a conifer stand, mossy groundcover, rather dense understory. Many small game trails, lack of obvious large game trails. ",Flat,0%,517,0,N,1,5,"Park roadside, bushwack ~150m in."
OSM_LU14,30-Sep-23,13:25,RS MB,LU14_48,LU14_48,ACME-2022-72,OSM-23-415,57.03131,-112.53831,LU14-48,Mixed,In a mixed forest on a seismic line. Mossy understory. ,Flat,0%,521,0,E,3,5,"Park roadside, walk up seismic line ~ 350 m (diagonal) camera attached to conifer tree. "
OSM_LU14,30-Sep-23,14:01,RS MB,LU14_49,LU14_49,ACME-2022-02,OSM-23-416,57.02781,-112.51659,LU14-49,Mixed,"Faint game trail coming out of a conifer dominant mixed wood stand, onto high use seismic line. Mossy ground with fireweed and labrador tea. ",Flat,0%,506,1,E,1,7,"Park roadside, walk down seismic line on N side of road to site. "
OSM_LU14,03-Oct-23,10:30,EA SM,LU14_51,LU14_51,ACME-2022-66,OSM-23-706,57.03178,-112.43441,LU14-51,Mixed,"Mixed forest, mostly conifer, mossy understory, some shrubs. Good game trails. ",Flat,0%,472,<0.5,W,2,5,Heli access - Near edge of wetland/bog area. Follow game trail in around NW part of bog.
