Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Forest Type,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU13,15-Sep-22,NA,LG AB,LU13_43,LU13_43,ACME-2022-118,OSM-22-67,57.14806,-111.15835,LU13_43,Conifer,"Mossy open area, pointed right down trail. ",Flat,0,426,1,N,1,4,"Park on road, bushwhack in. We tried to go on the south side, but lots of cattails. "
OSM_LU13,15-Sep-22,13:15,LG AB,LU13_41,LU13_41,ACME-2022-82,OSM-22-80,57.13169,-111.18623,LU13_41,Conifer,"Placed on a very old looking cutline, but the trail was super defined. Executive decision to put cam here. ",Flat,0,423,1.5,NE,3,15,"Park on road, walk in. Talked about Blood Diamond, great movie. "
OSM_LU13,15-Sep-22,15:22,LG AB,LU13_59,LU13_59,ACME-2022-84,OSM-22-07,57.12108,-111.25407,LU13_59,Conifer,Camera along game trail. Mossy understory with lots of labrador tea. Dominate coniferous forest stand. ,Flat,0,387,1,NE,2,5,"Park along main road, enter forest stand, follow game trail to camera. "
OSM_LU13,15-Sep-22,14:47,LG AB,LU13_06,LU13_06,ACME-2022-81,OSM-22-62,57.12073,-111.2196,LU13_06,Mixed,"Lots of labrador tea, well used trail. ",Flat,0,411,1,N,3,8,"Same as the rest of them, you park along main road and bushwhack in."
OSM_LU13,15-Sep-22,14:05,LG AB,LU13_14,LU13_14,ACME-2022-83,OSM-22-87,57.12302,-111.19258,LU13_14,Broadleaf,"Camera along heavily-used game trail. Mossy understory with lots of horsetail. Mixed forest stand, mostly conifer. ",Flat,0,433,1,NW,3,4,Park along main road. Cross powerline clearing and shrubs. Enter forest stand and follow game trail in.
OSM_LU13,15-Sep-22,16:21,RS NB,LU13_52,LU13_52,ACME-2022-116,OSM-22-105,57.11729,-111.41942,LU13_52,Conifer,"Along game trail in sparse dry pine forest, blueberry, mossy understory.",Flat,0,358,2,W,2,7,Park roadside and walk to site. 
OSM_LU13,15-Sep-22,15:50,RS NB,LU13_36,LU13_36,ACME-2022-98,OSM-22-06,57.12073,-111.38155,LU13_36,Conifer,Open labrador tea meadow surrounded by black spruce and some other shrubs.,Flat,0,343,2,W,1,3,"Park on road, walk to camera down cutline to labrador tea meadow. "
OSM_LU13,15-Sep-22,15:09,RS NB,LU13_38,LU13_38,ACME-2022-111,OSM-22-36,57.11777,-111.35448,LU13_38,Conifer,On a boggy wide cutline in a spruce/larch stand. Understory bog with horsetail. WET! Lured down larch tree. ,Flat,0,358,2,N,1,6,Park roadside and bushwhack to cutline. Walk to site. 
OSM_LU13,14-Sep-22,13:43,RS NB,LU13_20,LU13_20,ACME-2022-95,OSM-22-02,57.1806,-111.10409,LU13_20,Broadleaf,"On the north side of a pond, in the forest. Mostly spruce but gets shrubby nearby.",Flat,0,497,2,NE,2,6,You can park by the highway or on the nearby road. Follow vague outline into forest. Camera is on the north side of the pond where the spruce turns into shurbs. 
OSM_LU13,15-Sep-22,12:59,RS NB,LU13_17,LU13_17,ACME-2022-93,OSM-22-23,57.16414,-111.10896,LU13_17,Broadleaf,"At intersection at 2 seismic lines, each with prominent game trails. Black spruce dominated stand with mossy understory and sparse ground plants. Some deadfall.",Flat,0,497,3,NE,3,5,Park roadside and follow seismic lines to site. 
OSM_LU13,15-Sep-22,11:42,RS NB,LU13_56,LU13_56,ACME-2022-94,OSM-22-20,57.1521,-111.10345,LU13_56,Broadleaf,"Lots of black spruce and willow. On old, starting to get overgrown seismic line near patch of cattails on bigger cut.",Flat,0,516,0.5,W,2,5,"Some moose scat. Park near entrance to excavation site, walk along large cutline, out through small patch of woods, cross through cattails (they were dry for us..) and onto small old seismic line. "
OSM_LU13,15-Sep-22,11:01,RS NB,LU13_49,LU13_49,ACME-2022-92,OSM-22-104,57.19334,-111.07793,LU13_49,Conifer,"Pointing down game trail along seismic line. Dense black spruce forest with  mossy understory with sparse labrador tea, horsetail, and grass. More lowland transitional. ",Flat,0,504,1,N,2,4.5,Park on side at highway and follow seismic lines to camera site. 
OSM_LU13,15-Sep-22,10:13,RS NB,LU13_70,LU13_70,ACME-2022-90,OSM-22-31,57.19792,-111.05211,LU13_70,Conifer,On a seismic line intersection. Lots of black spruce but dry. Lots of labrador tea. ,Flat ,0,515,2,N,2,5,There's a seismic line you can walk in on right to the camera. Easy walking on the west side of road. 
OSM_LU13,15-Sep-22,9:35,RS NB,LU13_11,LU13_11,ACME-2022-91,OSM-22-44,57.17275,-111.04179,LU13_11,Mixed,Along game trail on seismic line. Black spruce forest with mossy understory of shrubby labrador tea and lichen. ,Flat,0,528,2.5,NW,2,5,Park roadside and enter forest on west side. Bushwhack to seismic line and follow to camera site. 
OSM_LU15,13-Sep-22,11:28,AB NB,LU15_44,LU15-44,ACME-2022-07,OSM-22-109,56.21265,-112.87608,LU15_44,Mixed,"Mixed poplar, somewhat well-used trail in dense forest. ",Flat,0,587,NA,NW,3,6,Walk through a clearing and into the dense forest. Not really a trail until you get closer to camera. 
OSM_LU15,13-Sep-22,10:15,AB NB,LU15_11,LU15_11,ACME-2022-21,OSM-22-30,56.21214,-112.83254,LU15_11,Conifer,"Pretty boggy and close to well pad, but we just couldn't find anything else. ",Flat,0,574,NA,NE,1,8,"Drive onto well pad, follow wet/boggy trail until you reach a tall stand of trees. "
OSM_LU15,13-Sep-22,10:51,AB NB,LU15_19,LU15_19,ACME-2022-09,OSM-22-35,56.2124,-112.85681,LU15_19,Broadleaf,"In the bog, black spruce stand. Wet and not many visible game trails. ",Flat,0,569,NA,W,1,3,"Walk from compressor into bog, no visible trail, good luck. "
OSM_LU15,13-Sep-22,15:24,AB NB,LU15_07,LU15_07,ACME-2022-23,OSM-22-107,56.2118,-112.98846,LU15_07,Conifer,"Older seismic line coming off wellpad. Black spruce, mossy but not too wet",Flat,0,616,2,NE,2,6,"Park at wellpad, walk down seismic line. Camera on line on spruce tree ~ 130 m from wellpad. Almost out of cell - whoops. "
OSM_LU15,13-Sep-22,16:34,AB NB,LU15_34,LU15_34,ACME-2022-26,OSM-22-102,56.1777,-112.99898,LU15_34,Mixed,Grassy old line with spruce and lots of shrub.,Flat,0,606,1,NE,1,7,"Near downed tree on old seismic line. Park on road, walk straight down line, ~100 m, in front of downed tree. Not great placement but cell sucked. "
OSM_LU15,13-Sep-22,17:18,AB NB,LU15_37,LU15_37,ACME-2022-69,OSM-22-83,56.1802,-112.86945,LU15_37,Mixed,"Mixed, sort of boggy. Camera on clear trail.",Flat,0,581,NA,E,3,4,"Walk along edge of lake, high ground much easier! Then just cut hard right (starboard) into the forest. Easy peasy. "
OSM_LU15,13-Sep-22,14:44,AB NB,LU15_18,LU15_18,ACME-2022-20,OSM-22-85,56.21154,-112.93424,LU15_18,Broadleaf,"Mossy cutline, camera facing into old cutline.",Flat,0,600,NA,NE,2,7,"Park on well pad, bushwhack to cutline. Easy walkin. "
OSM_LU15,13-Sep-22,12:24,AB NB,LU15_43,LU15_43,ACME-2022-19,OSM-22-21,56.21047,-112.89617,LU15_43,Mixed,"Old seismic line, boggy, black spruce, mossy.",Flat,0,576,2,NE,3,5,"Park at well pad, walk into SE corner, follow well-defined game trail to site. Camera on old seismic line. "
OSM_LU15,13-Sep-22,13:25,AB NB,LU15_10,LU15_10,ACME-2022-10,OSM-22-08,56.21595,-112.9125,LU15_10,Conifer,On a seismic line beside a pond with an active beaver. Lots of small deciduous and black spruce. ,Flat,0,588,4,NE,3,6,"Seismic line is very clear from road, marked by old log pile. 2/3 of the way to tall aspen stand on east side of line."
OSM_LU15,13-Sep-22,13:58,AB NB,LU15_58,LU15_58,ACME-2022-17,OSM-22-49,56.22151,-112.9139,LU15_58,Mixed,"Really distinct trail, looks like a lot of activity. Camera is right on the line of cell LU15-58, but a giant wetland prohibited us from going further. ",Flat,0,596,NA,SE,3,NA,"Easy walk down seismic line from LU15-10. Walk as far as you can before reaching a wetland, then take a left into the forest. Very well marked trail when you get into the forest a bit. "
OSM_LU15,13-Sep-22,9:26,AB NB,LU15_08,LU15_08,ACME-2022-06,OSM-22-29,56.215085,-112.806392,LU15_08,Conifer,"Near lake, clear defined trail. Mix of birch and aspen. ",Flat,0,NA,NA,S,3,10,Walk beside east side of pond on clear trail by black spruce. On edge of black spruce stand. 
OSM_LU15,13-Sep-22,17:19,LG RS,LU15_12,LU15_12,ACME-2022-25,OSM-22-01,56.17937,-112.82142,LU15_12,Conifer,"Camera along game trail. Mossy understory, lots of labrador tea and horsetail. Dominate coniferous forest stand. ",Flat,0,582,1,N,1,4,Park on main road. Walk straight in from road on game trial. 
OSM_LU15,13-Sep-22,16:41,LG RS,LU15_17,LU15_17,ACME-2022-88,OSM-22-17,56.1792,-112.74088,LU15_17,Broadleaf,Game trail on side of old seismic line. Spruce bog with mossy labrador tea understory.,Slope,0,557,0.5,SW,2,4,"Park roadside, bushwhack to seismic line. "
OSM_LU15,13-Sep-22,14:49,LG RS,LU15_01,LU15_01,ACME-2022-117,OSM-22-15,56.13297,-113.01591,LU15_01,Conifer,Pointing down a very prominent game trail on the edge of a seismic line. Black spruce bog with mossy ground and labrador tea. A trail comes out of forest onto camera trail at lure tree. ,Flat,0,591,0.5,NE,3,7,"Park along road beside seismic line, walk up line on E side of road, follow until you hit camera site. "
OSM_LU15,13-Sep-22,14:14,LG RS,LU15_26,LU15_26,ACME-2022-24,OSM-22-27,56.13686,-113.00198,LU15_26,Mixed,"Camera along game trail. Mossy understory, with lots of labrador tea. Dominate coniferous forest stand. ",Flat,0,596,1,N,2,3,"Park long main road, follow game trail into forest. "
OSM_LU15,13-Sep-22,13:41,LG RS,LU15_27,LU15_27,ACME-2022-58,OSM-22-12,56.13768,-112.9838,LU15_27,Mixed,"Camera long game trail, right next to a pond. Labrador tea and shrubby understory. Dominate coniferous forest stand. ",Flat,0,586,1,N,2,3,Park on main road or well pad. Walk through well pad and exit via the north end. Follow game trail to forest edge and pond. 
OSM_LU15,13-Sep-22,12:54,LG RS,LU15_28,LU15_28,ACME-2022-57,OSM-22-90,56.13708,-112.94679,LU15_28,Mixed,"Game trail that comes off a cutline, at an intersection with another cutline. Spruce bog with mossy wet understory containing labrador tea. ",Flat,0,582,1,W,2,6,"Park roadside at cutline, follow in and follow game trail ~15 m into forest on E side to camera site. "
OSM_LU15,13-Sep-22,12:08,LG RS,LU15_02,LU15_02,ACME-2022-59,OSM-22-47,56.13453,-112.92681,LU15_02,Conifer,At confluence of 2 game trails in black spruce bog. Mossy ground with labrador tea and cranberry.,Flat,0,586,1.5,NE,3,4,"Park roadside near cutline, enter cutline on S side of road, follow in game trail almost immediately on SE side to camera site. "
OSM_LU15,13-Sep-22,11:33,LG RS,LU15_29,LU15_29,ACME-2022-40,OSM-22-72,56.13785,-112.91135,LU15_29,Mixed,Camera along a 3-way game trail junction. Mossy understory with labrador tea. Dominate coniferous forest stand. ,Flat,0,587,1.5,NW,3,4.5,"Park along main road or in wellpad. Walk through wellpad and exit on the north end. Go past the pipeline striaght into the forest stand, follow game trail in. "
OSM_LU15,13-Sep-22,10:55,LG RS,LU15_30,LU15_30,ACME-2022-27,OSM-22-28,56.13825,-112.88976,LU15_30,Mixed,Camera along game trail. Mossy understory with lots of horsetail. Mixed forest stand (lots of aspen and larch). ,Flat,0,585,1.5,NE,1,4,"Park along main road or in wellpad. Exit wellpad via north end, head straight through the bog (sorry) and enter the forest stand. Follow game trail in. "
OSM_LU15,13-Sep-22,10:11,LG RS,LU15_31,LU15_31,ACME-2022-49,OSM-22-14,56.1382,-112.87377,LU15_31,Mixed,"Pointing down game trail (intersection of 2). Mixed forest stand with mossy/boggy understory with some labrador tea, horsetail, and saplings. ",Flat,0,581,1,NW,2,4,Park on well pad and head towards tall conifers in NW. Walk across WET bog and enter forest when perpendicular with site waypoint. 
OSM_LU15,13-Sep-22,9:17,LG RS,LU15_32,LU15_32,ACME-2022-42,OSM-22-26,56.1378,-112.85918,LU15_32,Mixed,Along game trail at intersection between conifer stand and young shrubby aspen stand. Ground is mossy with saplings. ,Flat,0,583,1,NW,2,2.5,"Park at well site and head to conifer stand at NE corner, follow obvious game trail in. "
OSM_LU15,13-Sep-22,13:34,AB NB,LU15_20,LU15_20,ACME-2022-32,OSM-22-100,56.21454,-113.06107,LU15_20,Broadleaf,Pretty open birch and conifer. Camera on game trail off of an old seismic line. ,Flat,0,654,NA,NW,1,4,"Park at corner of road (small pullout), walk into forest stand by pond. By seismic line."
OSM_LU15,13-Sep-22,15:08,AB NB,LU15_21,LU15_21,ACME-2022-80,OSM-22-42,56.21711,-113.01251,LU15_21,Broadleaf,"Dense mixed forest, off very old seismic line. ",Flat,0,634,NA,NE,2,10,"There is an old seismic line on the map, but it's not the most walkable. Basically have to bushwhack."
OSM_LU15,12-Sep-22,12:58,AB NB,LU15_23,LU15_23,ACME-2022-53,OSM-22-54,56.20251,-113.05704,LU15_23,Broadleaf,"Black spruce bog with some small deciduous trees. Lots of moss, some labrador tea. Near well pad on well used game trail. ",Flat,0,622,2,NE,3,3,"Park at wellpad, go to NE corner, follow game trail (well-defined) until camera."
OSM_LU15,12-Sep-22,NA,AB NB,LU15_41,LU15_41,ACME-2022-55,OSM-22-77,56.19308,-113.05862,LU15_41,Mixed,"Black spruce, pretty distinct game trail off well pad. ",Flat,0,642,NA,N,3,12,"Clear game trail, but thick forest. Easy walking, camera right on trail."
OSM_LU15,12-Sep-22,16:36,AB NB,LU15_25,LU15_25,ACME-2022-18,OSM-22-05,56.21123,-112.96203,LU15_25,Broadleaf,We put it on the old seismic line since it was fairly grown in and had a well defined trail. ,Flat,0,603,0,NW,3,12,"Park on well pad, walk on seismic line starting at middle of well pad (kind of hidden). On seismic line. "
OSM_LU15,12-Sep-22,15:53,AB NB,LU15_09,LU15_09,ACME-2022-08,OSM-22-81,56.21596,-112.97829,LU15_09,Conifer,"Quite wet bog land, but we found a ""low use"" trail. We did our best.",Flat,0,613,NA,NA,1,8,"Wet walk! Go down seismic line, easy to find. "
OSM_LU15,12-Sep-22,NA,AB NB,LU15_24,LU15_24,ACME-2022-54,OSM-22-19,56.21198,-113.04411,LU15_24,Broadleaf,Black spruce/aspen forest by seismic line. ,Flat,0,661,10,W,3,3.5,"Park on road, walk down seismic line south of road. Camera in woods about 200m down seismic line. "
OSM_LU15,12-Sep-22,17:16,AB NB,LU15_46,LU15_46,ACME-2022-52,OSM-22-03,56.21193,-113.0253,LU15_46,Mixed,Mixed birch and aspen off of a seismic line.,Flat,0,645,10,NW,3,13,"Park on road (not too far from well pad), walk down seismic line ~160m, turn left into forest. Camera close to seismic line but not directly on it."
OSM_LU15,12-Sep-22,17:14,LG RS,LU15_40,LU15_40,ACME-2022-38,OSM-22-34,56.18027,-112.73063,LU15_40,Mixed,Camera along cutline. Mossy understory with labrador tea and cranberry. Dominate coniferous forest stand. ,Flat,0,556,2,W,2,2,Park at end of main road. Walk up cutline (shows up as pipeline on map).
OSM_LU15,12-Sep-22,16:40,LG RS,LU15_16,LU15_16,ACME-2022-41,OSM-22-60,56.17765,-112.76156,LU15_16,Broadleaf,"Camera along narrow seismic line. Mossy understory, mixed forest stand (lots of aspen).",Flat,0,565,1,E,2,4.5,"Park on main road. Enter forest using game trail, walk until you hit the seismic line, which is parallel to the road. "
OSM_LU15,12-Sep-22,15:00,LG RS,LU15_04,LU15_04,ACME-2022-15,OSM-22-41,56.17984,-112.92477,LU15_04,Conifer,Dry conifer forest stand with mossy understory and labrador tea. Camera facing along game trail.,Flat,0,581,1,N,2,3.5,Park roadside and walk into obvious dry conifer forest stand on N side at road. Stay to W side of stand to avoid deadfall and follow game trail to site. 
OSM_LU15,12-Sep-22,14:23,LG RS,LU15_36,LU15_36,ACME-2022-14,OSM-22-95,56.17767,-112.95157,LU15_36,Mixed,Along faint game trail in conifer stand. Messy understory that is bog-like with labrador tea and horsetails. ,Flat,0,588,1,NW,1,3.5,Park roadside and bushwhack in :( 
OSM_LU15,12-Sep-22,13:02,LG RS,LU15_03,LU15_03,ACME-2022-13,OSM-22-59,56.17757,-113.04402,LU15_03,Conifer,Along game trail. Mossy understory with some labrador tea and horsetail. Dominate coniferous forest stand.,Flat,0,609,1,NW,2,3,Park off wellpad. Enter wellpad and exit on the west side of it into the forest. Follow game trail. 
OSM_LU15,12-Sep-22,12:25,LG RS,LU15_15,LU15_15,ACME-2022-36,OSM-22-93,56.1834,-113.06137,LU15_15,Broadleaf,"Along game trail (at game trail intersection), off of seismic line. Mossy understory with labrador tea, dominate coniferous forest stand.",Flat,0,631,1.5,N,3,4,"Parked on main road, enter forest via game trail, follow game trail in."
OSM_LU15,12-Sep-22,11:11,LG RS AB NB,LU15_14,LU15_14,ACME-2022-50,OSM-22-103,56.16916,-113.07427,LU15_14,Broadleaf,Along game trail off seismic line. Grassy understory in a mixed forest stand.,Flat,0,619,1.5,NW,2,4,"Pull off road onto prelim. wellpad. Park at back and follow seismic line in SE corner of pad, heading E. "
OSM_LU15,11-Sep-22,14:32,LG RS,LU15_22,LU15_22,ACME-2022-37,OSM-22-94,56.39488,-112.88847,LU15_22,Conifer,"Game trail on seismic line, ~200m from wellpad. Very mossy understory (dry bog), with lots of labrador tea and dominate coniferous forest. ",Flat,0,595,1,SW,2,4,"Park off the main road at the junction, walk past locked gate, walk along perimeter of wellpad, exit wellpad from the north side, near raised pipeline. Follow seismic line to site. "
